,clock,value
0,1663267635,4575
1,1663267665,4575
2,1663267695,4575
3,1663267725,4575
4,1663267755,4575
5,1663267785,4575
6,1663267815,4575
7,1663267845,4550
8,1663267875,4550
9,1663267905,4550
10,1663267935,4550
11,1663267965,4550
12,1663267995,4550
13,1663268025,4550
14,1663268055,4550
15,1663268085,4550
16,1663268115,4550
17,1663268145,4550
18,1663268175,4550
19,1663268205,4550
20,1663268235,4550
21,1663268265,4550
22,1663268295,4550
23,1663268325,4550
24,1663268355,4550
25,1663268385,4550
26,1663268415,4550
27,1663268445,4550
28,1663268475,4550
29,1663268505,4550
30,1663268535,4550
31,1663268565,4550
32,1663268595,4550
33,1663268625,4550
34,1663268655,4550
35,1663268685,4550
36,1663268715,4550
37,1663268745,4550
38,1663268775,4550
39,1663268805,4550
40,1663268835,4550
41,1663268865,4550
42,1663268895,4550
43,1663268925,4550
44,1663268955,4550
45,1663268985,4550
46,1663269015,4550
47,1663269045,4550
48,1663269075,4550
49,1663269105,4550
50,1663269135,4550
51,1663269165,4550
52,1663269195,4550
53,1663269225,4550
54,1663269255,4550
55,1663269285,4550
56,1663269315,4550
57,1663269345,4550
58,1663269375,4550
59,1663269405,4550
60,1663269435,4550
61,1663269465,4550
62,1663269495,4550
63,1663269525,4550
64,1663269555,4550
65,1663269585,4550
66,1663269615,4550
67,1663269645,4550
68,1663269675,4550
69,1663269705,4550
70,1663269735,4550
71,1663269765,4550
72,1663269795,4550
73,1663269825,4550
74,1663269855,4550
75,1663269885,4550
76,1663269915,4550
77,1663269945,4550
78,1663269975,4550
79,1663270005,4550
80,1663270035,4550
81,1663270065,4550
82,1663270095,4550
83,1663270125,4550
84,1663270155,4550
85,1663270185,4550
86,1663270215,4550
87,1663270245,4550
88,1663270275,4550
89,1663270305,4550
90,1663270335,4550
91,1663270365,4550
92,1663270395,4550
93,1663270425,4550
94,1663270455,4550
95,1663270485,4550
96,1663270515,4550
97,1663270545,4550
98,1663270575,4550
99,1663270605,4550
100,1663270635,4550
101,1663270665,4550
102,1663270695,4550
103,1663270725,4550
104,1663270755,4550
105,1663270785,4550
106,1663270815,4550
107,1663270845,4550
108,1663270875,4550
109,1663270905,4550
110,1663270935,4550
111,1663270965,4550
112,1663270995,4550
113,1663271025,4550
114,1663271055,4550
115,1663271085,4550
116,1663271115,4550
117,1663271145,4550
118,1663271175,4550
119,1663271205,4550
120,1663271235,4550
121,1663271265,4550
122,1663271295,4550
123,1663271325,4550
124,1663271355,4550
125,1663271385,4550
126,1663271415,4550
127,1663271445,4550
128,1663271475,4550
129,1663271505,4550
130,1663271535,4550
131,1663271565,4550
132,1663271595,4550
133,1663271625,4550
134,1663271655,4550
135,1663271685,4550
136,1663271715,4550
137,1663271745,4550
